address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes,lat,lon
"11739 223 St, Maple Ridge, BC V2X 5X8",,,CEED Centre Society,https://www.ceedcentre.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.215304,-122.6048391
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Greg Moore Youth Centre,,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,"youth centre, indoor skate park (website difficult to navigate, so I used the Google comments)",,49.2190204,-122.5977879
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Maple Ridge Leisure Centre,https://www.mapleridge.ca/Facilities/Facility/Details/Maple-Ridge-Leisure-Centre-145,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,"pools, gym, fitness, racquet courts",,49.2190204,-122.5977879
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Maple Ridge Leisure Centre,https://www.mapleridge.ca/Facilities/Facility/Details/Maple-Ridge-Leisure-Centre-145,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,"pools, gym, fitness, racquet courts",,49.2190204,-122.5977879
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Maple Ridge Leisure Centre,https://www.mapleridge.ca/Facilities/Facility/Details/Maple-Ridge-Leisure-Centre-145,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,"pools, gym, fitness, racquet courts",,49.2190204,-122.5977879
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Maple Ridge Leisure Centre,https://www.mapleridge.ca/Facilities/Facility/Details/Maple-Ridge-Leisure-Centre-145,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"pools, gym, fitness, racquet courts",,49.2190204,-122.5977879
"11925 Haney Pl, Maple Ridge, BC V2X 6G2",,,Maple Ridge Leisure Centre,https://www.mapleridge.ca/Facilities/Facility/Details/Maple-Ridge-Leisure-Centre-145,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,"pools, gym, fitness, racquet courts",,49.2190204,-122.5977879
"1200 Cartier Ave, Coquitlam, BC V3K 2C3",,,Place Maillardville Community Centre,http://www.placemaillardville.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,"community centre with programs for children, youth, adults, families and seniors",,49.240856,-122.8585229
"1200 Glen Pine Court, Coquitlam, BC V3B 2P7",,,Glen Pine Pavilion,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/recreation-centres/glen-pine-pavilion.aspx,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,"adult community centre, fitness",,49.283191,-122.7950109
"1200 Glen Pine Court, Coquitlam, BC V3B 2P7",,,Glen Pine Pavilion,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/recreation-centres/glen-pine-pavilion.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"adult community centre, fitness",,49.283191,-122.7950109
"12027 Harris Rd, Pitt Meadows, BC V3Y 0B9",,,Pitt Meadows Family Recreation Centre,https://www.pittmeadows.ca/parks-recreation/parks-fields-facilities/parks-list/pitt-meadows-family-recreation-centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"fitness, gym, sports",,49.2209883,-122.6915058
"12027 Harris Rd, Pitt Meadows, BC V3Y 0B9",,,Pitt Meadows Family Recreation Centre,https://www.pittmeadows.ca/parks-recreation/parks-fields-facilities/parks-list/pitt-meadows-family-recreation-centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,"fitness, gym, sports",,49.2209883,-122.6915058
"12027 Harris Rd, Pitt Meadows, BC V3Y 0B9",,,Pitt Meadows Family Recreation Centre,https://www.pittmeadows.ca/parks-recreation/parks-fields-facilities/parks-list/pitt-meadows-family-recreation-centre,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,"fitness, gym, sports",,49.2209883,-122.6915058
"1210 Pinetree Way, Coquitlam, BC V3B 7T8",,,City Centre Aquatic Complex,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/sports-facilities/indoors/city-centre-aquatic-complex.aspx,Aquatics,50m+ pool with or without other pools,Indoor,Public,1210,Pinetree Way,,Coquitlam,BC,V3B 7T8,,,"Olympic-sized pool, wave pool, fitness",,49.28601,-122.793331
"1210 Pinetree Way, Coquitlam, BC V3B 7T8",,,City Centre Aquatic Complex,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/sports-facilities/indoors/city-centre-aquatic-complex.aspx,Aquatics,25m pool with or without other pools,Indoor,Public,1210,Pinetree Way,,Coquitlam,BC,V3B 7T8,,,"Olympic-sized pool, wave pool, fitness",,49.28601,-122.793331
"1210 Pinetree Way, Coquitlam, BC V3B 7T8",,,City Centre Aquatic Complex,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/sports-facilities/indoors/city-centre-aquatic-complex.aspx,Aquatics,Leisure / wading pools,Indoor,Public,1210,Pinetree Way,,Coquitlam,BC,V3B 7T8,,,"Olympic-sized pool, wave pool, fitness",,49.28601,-122.793331
"1210 Pinetree Way, Coquitlam, BC V3B 7T8",,,City Centre Aquatic Complex,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/sports-facilities/indoors/city-centre-aquatic-complex.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1210,Pinetree Way,,Coquitlam,BC,V3B 7T8,,,"Olympic-sized pool, wave pool, fitness",,49.28601,-122.793331
"12150 224 St, Maple Ridge, BC V2X 6B6",,,Maple Ridge Seniors Activity Centre,https://rmssseniors.org/,Leisure / Community Centres,Seniors,Indoor,Public,,,,,,,,,,,49.2233331,-122.6002128
"123 23rd St E, North Vancouver, BC V7L 3E2",,,Harry Jerome Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/harry-jerome-community-recreation,Leisure / Community Centres,General,Indoor,Public,123,23rd Avenue ,,North Vancouver,BC,V7L 3E2,,,"community centre, pool, fitness",,49.3298116,-123.0709021
"123 23rd St E, North Vancouver, BC V7L 3E2",,,Harry Jerome Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/harry-jerome-community-recreation,Aquatics,25m pool with or without other pools,Indoor,Public,123,23rd Avenue ,,North Vancouver,BC,V7L 3E2,,,"community centre, pool, fitness",,49.3298116,-123.0709021
"123 23rd St E, North Vancouver, BC V7L 3E2",,,Harry Jerome Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/harry-jerome-community-recreation,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,123,23rd Avenue ,,North Vancouver,BC,V7L 3E2,,,"community centre, pool, fitness",,49.3298116,-123.0709021
"123 23rd St E, North Vancouver, BC V7L 3E2",,,Harry Jerome Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/harry-jerome-community-recreation,Ice,Single surface,Indoor,Public,123,23rd Avenue ,,North Vancouver,BC,V7L 3E2,,,"community centre, pool, fitness",,49.3298116,-123.0709021
"123 23rd St E, North Vancouver, BC V7L 3E2",,,Chief Joe Mathias Centre,https://www.squamish.net/,Leisure / Community Centres,General,Indoor,Public,123,23rd Avenue ,,North Vancouver,BC,V7L 3E2,,,"community centre, Aboriginal",,49.3298116,-123.0709021
"123 East 23rd Street, North Vancouver, BC V7N 2L3",,,Memorial Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/memorial-community-recreation-centre,Leisure / Community Centres,General,Indoor,Public,123,East 23rd Street,,North Vancouver,BC,V7N 2L3,,,community centre with gymnasium,,49.3298116,-123.0709021
"123 East 23rd Street, North Vancouver, BC V7N 2L3",,,Memorial Community Recreation Centre,https://www.nvrc.ca/facilities-fields/locations-hours/community-recreation-centres/memorial-community-recreation-centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,123,East 23rd Street,,North Vancouver,BC,V7N 2L3,,,community centre with gymnasium,,49.3298116,-123.0709021
"1234 Hornby St, Vancouver, BC V6Z 1W2",,,Propel Swimming Lessons,https://www.propelhq.com/,Aquatics,25m pool with or without other pools,Indoor,Private,1234,Hornby Street,,Vancouver,BC,V6Z 1W2,,,private swimming lessons at the Residence Inn by Marriott,,49.2778649,-123.1284885
"125 Kyle St, Port Moody, BC  V3H 3B3",,,Kyle Centre,https://www.portmoody.ca/en/recreation-parks-and-environment/facilities-and-rentals.aspx#Kyle-Centre,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.2759719,-122.8575604
"1260 Pinetree Way, Coquitlam, BC  V3B 7Z4",,,Pinetree Community Centre,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/recreation-centres/pinetree-community-centre.aspx,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,"community centre, fitness, gym",,49.2894463,-122.7916051
"1260 Pinetree Way, Coquitlam, BC  V3B 7Z4",,,Pinetree Community Centre,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/recreation-centres/pinetree-community-centre.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,"community centre, fitness, gym",,49.2894463,-122.7916051
"1260 Pinetree Way, Coquitlam, BC  V3B 7Z4",,,Pinetree Community Centre,https://www.coquitlam.ca/parks-recreation-and-culture/sport-and-recreation/recreation-centres/pinetree-community-centre.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"community centre, fitness, gym",,49.2894463,-122.7916051
"12800 Cambie Rd, Richmond, BC V6V 0A9",,,Cambie Community Centre,https://www.richmond.ca/parksrec/centres/cambiecentre/cambie.htm,Leisure / Community Centres,General,Indoor,Public,12800,Cambie Road,,Richmond,BC,V6V 0A9,,,"community centre shares facilities with HJ Cambie Secondary School - gymnasiums, fitness",,49.1837264,-123.0816757
"12800 Cambie Rd, Richmond, BC V6V 0A9",,,Cambie Community Centre,https://www.richmond.ca/parksrec/centres/cambiecentre/cambie.htm,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,12800,Cambie Road,,Richmond,BC,V6V 0A9,,,"community centre shares facilities with HJ Cambie Secondary School - gymnasiums, fitness",,49.1837264,-123.0816757
"12800 Cambie Rd, Richmond, BC V6V 0A9",,,Cambie Community Centre,https://www.richmond.ca/parksrec/centres/cambiecentre/cambie.htm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,12800,Cambie Road,,Richmond,BC,V6V 0A9,,,"community centre shares facilities with HJ Cambie Secondary School - gymnasiums, fitness",,49.1837264,-123.0816757
"1318 Cartwright St, Vancouver, BC V6H 3R8",,,False Creek Community Centre,https://falsecreekcc.ca/,Leisure / Community Centres,General,Both,Public,1318,Cartwright Street,,Vancouver,BC,V6H 3R8,,,"community centre with programs for children, youth, adults and seniors, fitness, tennis, sports, water park",,49.2696114,-123.1341742
"1318 Cartwright St, Vancouver, BC V6H 3R8",,,False Creek Community Centre,https://falsecreekcc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1318,Cartwright Street,,Vancouver,BC,V6H 3R8,,,"community centre with programs for children, youth, adults and seniors, fitness, tennis, sports, water park",,49.2696114,-123.1341742
"1320 E Hastings St, Vancouver, BC V5L 1S3",,,Korean Community Centre,http://www.eastvillagevancouver.ca/business/korean-community-centre/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.2811709,-123.07671
"1325 Keith Rd E, North Vancouver, BC V7J 1J3",,,North Shore Winter Club,https://www.nswc.ca/,Ice,2+ surfaces,Indoor,Private,1325,Keith Road E,,North Vancouver,BC,V7J 1J3,,,"3 ice rinks, 11 tennis courts, 2 outdoor pools, fitness, racquet courts ",,49.3114336,-123.0373038
"1325 Keith Rd E, North Vancouver, BC V7J 1J3",,,North Shore Winter Club,https://www.nswc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,1325,Keith Road E,,North Vancouver,BC,V7J 1J3,,,"3 ice rinks, 11 tennis courts, 2 outdoor pools, fitness, racquet courts ",,49.3114336,-123.0373038
"1325 Keith Rd E, North Vancouver, BC V7J 1J3",,,North Shore Winter Club,https://www.nswc.ca/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,1325,Keith Road E,,North Vancouver,BC,V7J 1J3,,,"3 ice rinks, 11 tennis courts, 2 outdoor pools, fitness, racquet courts ",,49.3114336,-123.0373038
"13458 107a Ave, Surrey, BC V3T 0G4",,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,Leisure / Community Centres,General,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",,49.1969064,-122.8493325
"13458 107a Ave, Surrey, BC V3T 0G4",,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",,49.1969064,-122.8493325
"13458 107a Ave, Surrey, BC V3T 0G4",,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",,49.1969064,-122.8493325
"13458 107a Ave, Surrey, BC V3T 0G4",,,Chuck Bailey Recreation Centre,https://www.surrey.ca/culture-recreation/1914.aspx,Physical Recreation & Sports,Skate parks,Indoor,Public,13458,107a Avenue,,Surrey,BC,V3T 0G4,,,"community centre with programs for children, youth and seniors, gym, fitness, skate park",,49.1969064,-122.8493325
"13479 76 Ave, Surrey, BC V3W 2W3",,,Newton Youth Hub,https://pcrs.ca/service-resource-centres/surrey-youth-resource-centre/,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,49.1410351,-122.8490883
"13730 72 Ave, Surrey, BC V3W 2P4",,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,Aquatics,25m pool with or without other pools,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",,49.13288,-122.8420851
"13730 72 Ave, Surrey, BC V3W 2P4",,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,Ice,Single surface,Indoor,Public,,,,,,,,,across from the lot from the wave pool,,49.13288,-122.8420851
"13730 72 Ave, Surrey, BC V3W 2P4",,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",,49.13288,-122.8420851
"13730 72 Ave, Surrey, BC V3W 2P4",,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",,49.13288,-122.8420851
"1379 Laurier Ave, Port Coquitlam, BC V3B 2B9",,,Hyde Creek Recreation Centre,https://www.portcoquitlam.ca/recreation/hyde-creek-recreation-centre/,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,"pools, racquet courts, gym, fitness",,49.275501,-122.7509744
"1379 Laurier Ave, Port Coquitlam, BC V3B 2B9",,,Hyde Creek Recreation Centre,https://www.portcoquitlam.ca/recreation/hyde-creek-recreation-centre/,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,"pools, racquet courts, gym, fitness",,49.275501,-122.7509744
"1379 Laurier Ave, Port Coquitlam, BC V3B 2B9",,,Hyde Creek Recreation Centre,https://www.portcoquitlam.ca/recreation/hyde-creek-recreation-centre/,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,"pools, racquet courts, gym, fitness",,49.275501,-122.7509744
"1379 Laurier Ave, Port Coquitlam, BC V3B 2B9",,,Hyde Creek Recreation Centre,https://www.portcoquitlam.ca/recreation/hyde-creek-recreation-centre/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,"pools, racquet courts, gym, fitness",,49.275501,-122.7509744
"1379 Laurier Ave, Port Coquitlam, BC V3B 2B9",,,Hyde Creek Recreation Centre,https://www.portcoquitlam.ca/recreation/hyde-creek-recreation-centre/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,"pools, racquet courts, gym, fitness",,49.275501,-122.7509744
"1381 George St, White Rock, BC V4B 2L1",,,ThirdSpace,http://www.ourthirdspace.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,49.0272746,-122.7999866
"14140 Triangle Rd, Richmond, BC V6W 1B1",,Richmond,Richmond Ice Centre,https://www.richmond.ca/parksrec/arenas/about.htm,Ice,2+ surfaces,Indoor,Public,14140,Triangle Road,,Richmond,BC,V6W 1B1,,,,,49.1361826,-123.0666353
