idx,facility_name,suggested_name,Name_Correction,Name_Match,all_names,source_facility_type,odhf_facility_type,suggested_type,Type_Match,Type_Correction,all_types,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,MISSING,hosp_group,dupe_flag,address
262,south health campus,,,,,general,Hospitals,,,,,Province of Alberta,,4448,front street se,T3M1M4,calgary,ab,"4448 front street se, calgary, alberta, t3m 1m4",Calgary,4806016,48,50.8820756,-113.9511437,1,17,FALSE,"4448, front street se, calgary, ab, T3M1M4"
317,wabasca/desmarais healthcare centre,,,,,,Ambulatory health care services,,,,,Province of Alberta,,881,mistassiniy road,T0G2K0,wabasca,ab,"881 mistassiniy road, wabasca, alberta, t0g 2k0",Desmarais,4817855,48,55.9429643,-113.8018573,2,18,FALSE,"881, mistassiniy road, wabasca, ab, T0G2K0"
333,115th residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1629,115 ave,V1G3C7,dawson creek,bc,1629 115 ave dawson creek bc v1g 3c7,Dawson Creek,5955014,59,55.7455893,-120.2501096,2,19,FALSE,"1629, 115 ave, dawson creek, bc, V1G3C7"
334,11a home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,5145,11a ave,V4M1Z7,delta,bc,5145 11a ave delta bc v4m 1z7,Delta,5915011,59,49.0241528,-123.0812712,2,20,FALSE,"5145, 11a ave, delta, bc, V4M1Z7"
335,1220 east 14th,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1220,14 st e,V7J1K2,north vancouver,bc,1220 14th st e north vancouver bc v7j 1k2,North Vancouver,5915051,59,49.3209903,-123.0404142,2,21,FALSE,"1220, 14 st e, north vancouver, bc, V7J1K2"
336,122nd avenue home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,22229,122 ave,V2X3X8,maple ridge,bc,22229 122nd ave maple ridge bc v2x 3x8,Maple Ridge,5915075,59,49.2244182,-122.6062374,2,22,FALSE,"22229, 122 ave, maple ridge, bc, V2X3X8"
337,123 walk-in clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,108-2777,gladwin road,V2T4V1,abbotsford,bc,108-2777 gladwin road abbotsford bc v2t 4v1,Abbotsford,5909052,59,49.051786,-122.315463,2,23,FALSE,"108-2777, gladwin road, abbotsford, bc, V2T4V1"
338,123rd home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,20878,123 ave,V2X4B2,maple ridge,bc,20878 123rd ave maple ridge bc v2x 4b2,Maple Ridge,5915075,59,49.2259116,-122.6427073,2,24,FALSE,"20878, 123 ave, maple ridge, bc, V2X4B2"
339,13333 - 20th avenue,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,13333,20 ave,V4A1Z3,surrey,bc,13333 20th ave surrey bc v4a 1z3,Surrey,5915004,59,49.038953,-122.852582,2,25,FALSE,"13333, 20 ave, surrey, bc, V4A1Z3"
340,1416 residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1416,102 ave,V1G2C9,dawson creek,bc,1416 102 ave dawson creek bc v1g2c9,Dawson Creek,5955014,59,55.759787,-120.242,2,26,FALSE,"1416, 102 ave, dawson creek, bc, V1G2C9"
341,17th street home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,4200,17 st,V1T8R7,vernon,bc,4200 17 st vernon bc v1t 8r7,Vernon,5937014,59,50.273778,-119.255517,2,27,FALSE,"4200, 17 st, vernon, bc, V1T8R7"
342,1985 treelane road,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1985,treelane rd,V9W4G1,campbell river,bc,1985 treelane rd campbell river bc v9w 4g1,Campbell River,5924034,59,50.025908,-125.27372,2,28,FALSE,"1985, treelane rd, campbell river, bc, V9W4G1"
343,1990 treelane road,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1990,treelane rd,V9W4E8,campbell river,bc,1990 treelane rd campbell river bc v9w 4e8,Campbell River,5924034,59,50.026306,-125.27363,2,29,FALSE,"1990, treelane rd, campbell river, bc, V9W4E8"
344,216a street,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,8983,216a st,V1M4C7,langley,bc,8983 216a st langley bc v1m 4c7,Langley,5915001,59,49.1658526,-122.6236643,2,30,FALSE,"8983, 216a st, langley, bc, V1M4C7"
345,227th home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,12775,227 st,V2X6K5,maple ridge,bc,12775 227th st maple ridge bc v2x 6k5,Maple Ridge,5915075,59,49.2346071,-122.5944504,2,31,FALSE,"12775, 227 st, maple ridge, bc, V2X6K5"
346,25th avenue group home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2980,25 ave ne,V1E3C7,salmon arm,bc,2980 25 ave ne salmon arm bc v1e 3c7,Salmon Arm,5939032,59,50.7177569,-119.2529612,2,32,FALSE,"2980, 25 ave ne, salmon arm, bc, V1E3C7"
347,29th street house,,,,,,,,,,,Province of British Columbia,,404,29 st,V1N3T9,castlegar,bc,404 29 st castlegar bc v1n 3t9,Castlegar,5903045,59,49.2759644,-117.6461235,3,33,FALSE,"404, 29 st, castlegar, bc, V1N3T9"
348,30th street group home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1201,30 st ne,V1E2B6,salmon arm,bc,1201 30 st ne salmon arm bc v1e 2b6,Salmon Arm,5939032,59,50.708592,-119.2511272,2,34,FALSE,"1201, 30 st ne, salmon arm, bc, V1E2B6"
349,3381 worthington,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,3381,worthington dr,V5M3X8,vancouver,bc,3381 worthington dr vancouver bc v5m 3x8,Vancouver,5915022,59,49.2551157,-123.0327623,2,35,FALSE,"3381, worthington dr, vancouver, bc, V5M3X8"
350,35th avenue home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,902,35 ave,V1T2R3,vernon,bc,902 35 ave vernon bc v1t 2r3,Vernon,5937014,59,50.2664676,-119.2434272,2,36,FALSE,"902, 35 ave, vernon, bc, V1T2R3"
351,38th avenue group home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,461,e 38 ave,V5W1H8,vancouver,bc,461 e 38th ave vancouver bc v5w 1h8,Vancouver,5915022,59,49.2364595,-123.0949445,2,37,FALSE,"461, e 38 ave, vancouver, bc, V5W1H8"
352,47th avenue residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1759,e 47 ave,V5P1P6,vancouver,bc,1759 e 47th ave vancouver bc v5p 1p6,Vancouver,5915022,59,49.2279307,-123.070041,2,38,FALSE,"1759, e 47 ave, vancouver, bc, V5P1P6"
353,4th street home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2304,4 st n,V1C5V9,cranbrook,bc,2304 4 st n cranbrook bc v1c 5v9,Cranbrook,5901022,59,49.5156951,-115.7487471,2,39,FALSE,"2304, 4 st n, cranbrook, bc, V1C5V9"
354,58th avenue home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,29172,58 ave,V4X2G1,abbotsford,bc,29172 58th ave abbotsford bc v4x 2g1,Abbotsford,5909052,59,49.107193,-122.415845,2,40,FALSE,"29172, 58 ave, abbotsford, bc, V4X2G1"
355,5960 angus place,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,5960,angus pl,V3S4W7,surrey,bc,5960 angus pl surrey bc v3s 4w7,Surrey,5915004,59,49.110777,-122.747127,2,41,FALSE,"5960, angus pl, surrey, bc, V3S4W7"
356,5984 - 191a street,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,5984,191a st,V3S7N1,surrey,bc,5984 191a st surrey bc v3s 7n1,Surrey,5915004,59,49.1106832,-122.691835,2,42,FALSE,"5984, 191a st, surrey, bc, V3S7N1"
357,6655a and 6655b arlington street,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,6655,arlington st,V5S3P1,vancouver,bc,6655 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222888,-123.029207,2,43,FALSE,"6655, arlington st, vancouver, bc, V5S3P1"
358,6699 arlington,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,6699,arlington st,V5S3P1,vancouver,bc,6699 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222641,-123.029465,2,44,FALSE,"6699, arlington st, vancouver, bc, V5S3P1"
359,7th street,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,322,7 street s,V1C1M7,cranbrook,bc,322 7 street s cranbrook bc v1c 1m7,Cranbrook,5901022,59,49.5020649,-115.7749363,2,45,FALSE,"322, 7 street s, cranbrook, bc, V1C1M7"
360,88th,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,23124,88 ave,V1M2R4,langley,bc,23124 88th ave fort langley bc v1m 2r4,Langley,5915001,59,49.1623587,-122.5823423,2,46,FALSE,"23124, 88 ave, langley, bc, V1M2R4"
361,917 foster,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,917,foster ave,V3J2L8,coquitlam,bc,917 foster ave coquitlam bc v3j 2l8,Coquitlam,5915034,59,49.2565375,-122.8710548,2,47,FALSE,"917, foster ave, coquitlam, bc, V3J2L8"
362,92a street house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,8704,92a st,V1J3J6,fort st john,bc,8704 92a st fort st. john bc v1j 3j6,Fort St. John,5955034,59,56.2337165,-120.8340087,2,48,FALSE,"8704, 92a st, fort st john, bc, V1J3J6"
363,9511 steveston highway,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,9511,steveston hwy,V7A1M7,richmond,bc,9511 steveston hwy richmond bc v7a 1m7,Richmond,5915015,59,49.1337379,-123.1212091,2,49,FALSE,"9511, steveston hwy, richmond, bc, V7A1M7"
364,95th avenue residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1625,95 ave,V1G1K2,dawson creek,bc,1625 95 ave dawson creek bc v1g 1k2,Dawson Creek,5955014,59,55.7674715,-120.249386,2,50,FALSE,"1625, 95 ave, dawson creek, bc, V1G1K2"
367,abbotsford village medical clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,302-2050,sumas way,V2S2C7,abbotsford,bc,302-2050 sumas way abbotsford bc v2s 2c7,Abbotsford,5909052,59,49.038729,-122.269714,2,51,FALSE,"302-2050, sumas way, abbotsford, bc, V2S2C7"
368,abbott house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,7109,westholme rd,V9L6B4,duncan,bc,7109 westholme rd duncan bc v9l 6b4,North Cowichan,5919008,59,48.850301,-123.71504,2,52,FALSE,"7109, westholme rd, duncan, bc, V9L6B4"
369,abby central medical and dental clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,2855,gladwin road,V2T6Y4,abbotsford,bc,2855 gladwin road abbotsford bc v2t 6y4,Abbotsford,5909052,59,49.0541,-122.3176,2,53,FALSE,"2855, gladwin road, abbotsford, bc, V2T6Y4"
371,able care medical clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,56-2991,lougheed highway,V3B6J6,coquitlam,bc,56-2991 lougheed highway coquitlam bc v3b 6j6,Coquitlam,5915034,59,49.277419,-122.795021,2,54,FALSE,"56-2991, lougheed highway, coquitlam, bc, V3B6J6"
372,acacia ty mawr,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2655,shawnigan lake rd e,V0R2W0,shawnigan lake,bc,2655 shawnigan lake rd e shawnigan lake bc v0r 2w0,Cowichan Valley B,5919046,59,48.649871,-123.62358,2,55,FALSE,"2655, shawnigan lake rd e, shawnigan lake, bc, V0R2W0"
373,acropolis manor,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1325,summit ave,V8J4C1,prince rupert,bc,1325 summit ave prince rupert bc v8j 4c1,Prince Rupert,5947012,59,54.304055,-130.33,2,56,FALSE,"1325, summit ave, prince rupert, bc, V8J4C1"
374,adanac house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1745,adanac st,V8R2C4,victoria,bc,1745 adanac st victoria bc v8r 2c4,Victoria,5917034,59,48.4350268,-123.3317071,2,57,FALSE,"1745, adanac st, victoria, bc, V8R2C4"
375,adanac park lodge,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,851,boundary rd,V5K4T2,vancouver,bc,851 boundary rd vancouver bc v5k 4t2,Vancouver,5915022,59,49.2770771,-123.0245958,2,58,FALSE,"851, boundary rd, vancouver, bc, V5K4T2"
376,adrian house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,948,howard ave,V5B3R6,burnaby,bc,948 howard ave burnaby bc v5b 3r6,Burnaby,5915025,59,49.2756077,-122.9836654,2,59,FALSE,"948, howard ave, burnaby, bc, V5B3R6"
377,agassiz seniors community,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1525,mackay cres,V0M1A3,agassiz,bc,1525 mackay cres agassiz bc v0m 1a3,Kent,5909032,59,49.2335015,-121.7681608,2,60,FALSE,"1525, mackay cres, agassiz, bc, V0M1A3"
898,harmony court care centre,,,,,long term care,Nursing and residential care facilities,,,,,Province of British Columbia,,7195,canada way,V5E3R7,burnaby,bc,7195 canada way burnaby bc v5e 3r7,Burnaby,5915025,59,49.224537,-122.942499,1,61,FALSE,"7195, canada way, burnaby, bc, V5E3R7"
379,airport way medical clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,5216,airport drive,V0C1R0,fort nelson,bc,5216 airport drive fort nelson bc v0c 1r0,Northern Rockies,5959007,59,58.80862,-122.6934,2,62,FALSE,"5216, airport drive, fort nelson, bc, V0C1R0"
782,fir park village,,,,,long term care,Nursing and residential care facilities,,,,,Province of British Columbia,,4411,wallace st,V9Y7Y5,port alberni,bc,4411 wallace st port alberni bc v9y 7y5,Port Alberni,5923008,59,49.250749,-124.79915,1,63,FALSE,"4411, wallace st, port alberni, bc, V9Y7Y5"
382,alder house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,4349,victoria dr,V5N4M9,vancouver,bc,4349 victoria dr vancouver bc v5n 4m9,Vancouver,5915022,59,49.2461756,-123.0655383,2,64,FALSE,"4349, victoria dr, vancouver, bc, V5N4M9"
383,alder medical centre,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,277,evergreen road,V9W5Y4,campbell river,bc,277 evergreen road campbell river bc v9w 5y4,Campbell River,5924034,59,50.007502,-125.241145,2,65,FALSE,"277, evergreen road, campbell river, bc, V9W5Y4"
384,alder medical clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,2-575b,alder avenue,V0K2E1,100 mile house,bc,2-575b alder avenue 100 mile house bc v0k 2e1,One Hundred Mile House,5941005,59,51.6391635,-121.2962013,2,66,FALSE,"2-575b, alder avenue, 100 mile house, bc, V0K2E1"
385,alexis home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1561,alexis ave,V2B4L1,kamloops,bc,1561 alexis ave kamloops bc v2b 4l1,Kamloops,5933042,59,50.701098,-120.3833093,2,67,FALSE,"1561, alexis ave, kamloops, bc, V2B4L1"
386,alfred adult residential,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,3668,alfred ave,V0J2N0,smithers,bc,3668 alfred ave smithers bc v0j 2n0,Smithers,5951043,59,54.776614,-127.17154,2,68,FALSE,"3668, alfred ave, smithers, bc, V0J2N0"
387,alice lake place group home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2724,alice lake pl,V3C5W8,coquitlam,bc,2724 alice lake pl coquitlam bc v3c 5w8,Coquitlam,5915034,59,49.2551287,-122.813081,2,69,FALSE,"2724, alice lake pl, coquitlam, bc, V3C5W8"
1501,sidney all care residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2269,mills rd,V8L2C3,sidney,bc,2269 mills rd sidney bc v8l 2c3,Sidney,5917010,59,48.6548435,-123.4053777,2,70,FALSE,"2269, mills rd, sidney, bc, V8L2C3"
389,allwood medical centre,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,102-2752,allwood street,V2T3R7,abbotsford,bc,102-2752 allwood street abbotsford bc v2t 3r7,Abbotsford,5909052,59,49.051728,-122.319815,2,71,FALSE,"102-2752, allwood street, abbotsford, bc, V2T3R7"
390,altesse,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,3762,thurston st,V5H1H7,burnaby,bc,3762 thurston st burnaby bc v5h 1h7,Burnaby,5915025,59,49.2343917,-123.0214555,2,72,FALSE,"3762, thurston st, burnaby, bc, V5H1H7"
391,amadeus residence,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,842,pears rd,V9C4A2,victoria,bc,842 pears rd victoria bc v9c 4a2,Metchosin,5917042,59,48.392091,-123.53762,2,73,FALSE,"842, pears rd, victoria, bc, V9C4A2"
392,amelia house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,2316,amelia ave,V8L2H6,sidney,bc,2316 amelia ave sidney bc v8l 2h6,Sidney,5917010,59,48.6589243,-123.4037832,2,74,FALSE,"2316, amelia ave, sidney, bc, V8L2H6"
394,amica at edgemont village,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,3225,highland blvd,V7R0A3,north vancouver,bc,3225 highland blvd north vancouver bc v7r 0a3,North Vancouver,5915046,59,49.33829,-123.101,2,75,FALSE,"3225, highland blvd, north vancouver, bc, V7R0A3"
395,amica douglas house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,50,douglas st,V8V2N8,victoria,bc,50 douglas st victoria bc v8v 2n8,Victoria,5917034,59,48.410418,-123.3692,2,76,FALSE,"50, douglas st, victoria, bc, V8V2N8"
396,amica lions gate,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,701,keith rd,V7T1M2,west vancouver,bc,701 keith rd west vancouver bc v7t 1m2,West Vancouver,5915055,59,49.3313851,-123.135713,2,77,FALSE,"701, keith rd, west vancouver, bc, V7T1M2"
397,amica on the gorge,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,994,gorge rd w,V9A1P2,victoria,bc,994 gorge rd w victoria bc v9a 1p2,Saanich,5917021,59,48.453413,-123.41963,2,78,FALSE,"994, gorge rd w, victoria, bc, V9A1P2"
398,amica west vancouver,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,659,clyde ave,V7T1C8,west vancouver,bc,659 clyde ave west vancouver bc v7t 1c8,West Vancouver,5915055,59,49.3285716,-123.1332044,2,79,FALSE,"659, clyde ave, west vancouver, bc, V7T1C8"
399,amica white rock,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,15333,16 ave,V4A1R6,surrey,bc,15333 16th ave surrey bc v4a 1r6,Surrey,5915004,59,49.0313306,-122.7979716,2,80,FALSE,"15333, 16 ave, surrey, bc, V4A1R6"
400,ananda house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,1249,e 8 ave,V5T1V3,vancouver,bc,1249 e 8th ave vancouver bc v5t 1v3,Vancouver,5915022,59,49.263484,-123.079,2,81,FALSE,"1249, e 8 ave, vancouver, bc, V5T1V3"
401,ancron medical centre,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,108-402,baker street,V1L4H8,nelson,bc,108-402 baker street nelson bc v1l 4h8,Nelson,5903015,59,49.491628,-117.294835,2,82,FALSE,"108-402, baker street, nelson, bc, V1L4H8"
403,apple gate respite home,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,710,applegate rd,V9W7A2,campbell river,bc,710 applegate rd campbell river bc v9w 7a2,Campbell River,5924034,59,49.961599,-125.22528,2,83,FALSE,"710, applegate rd, campbell river, bc, V9W7A2"
404,apple plaza walk-in clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,162-1848,main street,V2A5H3,penticton,bc,162-1848 main street penticton bc v2a 5h3,Penticton,5907041,59,49.47786,-119.5822,2,84,FALSE,"162-1848, main street, penticton, bc, V2A5H3"
405,applecross,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,6408,dover rd,V9V1A7,nanaimo,bc,6408 dover rd nanaimo bc v9v 1a7,Nanaimo,5921007,59,49.241761,-124.04279,2,85,FALSE,"6408, dover rd, nanaimo, bc, V9V1A7"
406,aquarius medical clinic,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,202-179,davie street,V6Z2Y1,vancouver,bc,202-179 davie street vancouver bc v6z 2y1,Vancouver,5915022,59,49.273776,-123.120741,2,86,FALSE,"202-179, davie street, vancouver, bc, V6Z2Y1"
407,arborwynd,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,27136,112 ave,V2W1P8,maple ridge,bc,27136 112th ave maple ridge bc v2w 1p8,Maple Ridge,5915075,59,49.2051508,-122.4709799,2,87,FALSE,"27136, 112 ave, maple ridge, bc, V2W1P8"
408,arbour cottage,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,17,baden powell st,V9G1A3,ladysmith,bc,17 baden powell st ladysmith bc v9g 1a3,Ladysmith,5919021,59,48.9920971,-123.8145297,2,88,FALSE,"17, baden powell st, ladysmith, bc, V9G1A3"
409,arc en ciel,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,3114,irma st,V9A1S8,victoria,bc,3114 irma st victoria bc v9a 1s8,Victoria,5917034,59,48.4473046,-123.385387,2,89,FALSE,"3114, irma st, victoria, bc, V9A1S8"
410,archway community services,,,,,,Ambulatory health care services,,,,,Province of British Columbia,,101-32555,simon avenue,V2T4Y2,abbotsford,bc,101-32555 simon avenue abbotsford bc v2t 4y2,Abbotsford,5909052,59,49.053349,-122.32308,2,90,FALSE,"101-32555, simon avenue, abbotsford, bc, V2T4Y2"
411,archway house,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,5933,168 st,V3S3X5,surrey,bc,5933 168th st surrey bc v3s 3x5,Surrey,5915004,59,49.1102944,-122.7568634,2,91,FALSE,"5933, 168 st, surrey, bc, V3S3X5"
412,argyll lodge,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,14590,106a ave,V3R1T4,surrey,bc,14590 106a ave surrey bc v3r 1t4,Mission,5909056,59,49.158058,-122.297122,2,92,FALSE,"14590, 106a ave, surrey, bc, V3R1T4"
414,arrowsmith lodge,,,,,,Nursing and residential care facilities,,,,,Province of British Columbia,,266,moilliet st,V9P1M9,parksville,bc,266 moilliet st parksville bc v9p 1m9,Parksville,5921018,59,49.316385,-124.32359,2,93,FALSE,"266, moilliet st, parksville, bc, V9P1M9"
